Detector Measurements,,,,Tilt Corrected,,,,,
Detector Location,Detector Data,Simulate Data,Difference,Detector Location,Detector Data,Simulate Data,Difference,MPACT Data,Difference
,,,,L11,1.29648230899,1.26846123582,-0.0280210731653,,
,,,,K11,1.06787603948,1.08983299217,0.0219569526921,,
,,,,J11,1.18109146002,1.18015064346,-0.000940816562868,,
,,,,H11,1.07037872334,1.06073063787,-0.00964808547079,,
,,,,G11,1.18109146002,1.17212240779,-0.00896905223264,,
,,,,F11,1.06787603948,1.08882946271,0.0209534232334,,
,,,,E11,1.29648230899,1.26846123582,-0.0280210731653,,
,,,,C11,1.2119720473,1.20122476209,-0.0107472852097,,
,,,,A11,0.534700259487,0.52584943637,-0.00885082311665,,
,,,,P12,0.80682400471,0.809848273189,0.00302426847869,,
,,,,N12,1.07078457795,1.06273769679,-0.00804688116335,,
,,,,M12,1.16353953697,1.18817887913,0.0246393421569,,
,,,,K12,1.251633969,1.23534476369,-0.0162892053132,,
,,,,J12,1.0876007172,1.08280828596,-0.00479243123891,,
,,,,H12,1.12117380649,1.1279671116,0.00679330511359,,
,,,,G12,1.0876007172,1.08280828596,-0.00479243123891,,
,,,,F12,1.251633969,1.23634829315,-0.0152856758544,,
,,,,D12,1.16353953697,1.18817887913,0.0246393421569,,
,,,,C12,1.07078457795,1.06273769679,-0.00804688116335,,
,,,,B12,0.80682400471,0.809848273189,0.00302426847869,,
,,,,P13,0.519645076506,0.511800023948,-0.00784505255775,,
,,,,N13,0.89659664384,0.910201219061,0.0136045752209,,
,,,,M13,1.07078457795,1.06273769679,-0.00804688116335,,
,,,,L13,1.2119720473,1.20122476209,-0.0107472852097,,
,,,,K13,1.08546833111,1.0647447557,-0.0207235754059,,
,,,,J13,1.14773808035,1.13800240619,-0.00973567415919,,
,,,,H13,1.03505680136,1.03965651924,0.00459971787604,,
,,,,G13,1.14773808035,1.14803770078,0.000299620428026,,
,,,,F13,1.08546833111,1.06675181462,-0.0187165164885,,
,,,,E13,1.2119720473,1.20222829155,-0.00974375575098,,
,,,,D13,1.07078457795,1.06273769679,-0.00804688116335,,
,,,,C13,0.89659664384,0.910201219061,0.0136045752209,,
,,,,B13,0.519645076506,0.511800023948,-0.00784505255775,,
,,,,N14,0.519645076506,0.511800023948,-0.00784505255775,,
,,,,M14,0.80682400471,0.809848273189,0.00302426847869,,
,,,,K14,1.0343232521,1.04969181382,0.0153685617233,,
,,,,J14,1.03333047765,1.03263181302,-0.00069866462501,,
,,,,H14,1.00127577696,1.01356475331,0.0122889763493,,
,,,,G14,1.03333047765,1.03865298978,0.00532251212732,,
,,,,F14,1.0343232521,1.05169887274,0.0173756206407,,
,,,,D14,0.80682400471,0.809848273189,0.00302426847869,,
,,,,C14,0.519645076506,0.511800023948,-0.00784505255775,,
,,,,L15,0.534700259487,0.52584943637,-0.00885082311665,,
,,,,K15,0.738410180103,0.725551798656,-0.012858381447,,
,,,,J15,0.811809673361,0.809848273189,-0.0019614001723,,
,,,,H15,0.781328622209,0.801820037519,0.0204914153099,,
,,,,G15,0.811809673361,0.811855332106,4.56587451391e-05,,
,,,,F15,0.738410180103,0.726555328115,-0.0118548519882,,
,,,,E15,0.534700259487,0.52584943637,-0.00885082311665,,
